district,season,crop_type,start,end,ndvi,evi,ndwi,savi,nbr,image_date,yield_t_ha
Okara,2023-24,wheat,2024-01-15,2024-03-15,0.5019122216301125,0.367002879979599,0.19730586569530795,0.3271850959953932,0.3536174934142233,,
Sahiwal,2023-24,wheat,2024-01-15,2024-03-15,0.5142044389949283,0.37528878897143975,0.20591372290246587,0.33701077648677474,0.3629245174004602,,
Sheikhupura,2023-24,wheat,2024-01-15,2024-03-15,0.6197014670658937,0.4579187329202339,0.28530448156381094,0.40086385464808977,0.47660048412237294,,
