district,season,crop_type,start,end,tmax_mean_c,tmin_mean_c,tmax_peak_c,rain_mm,frost_days,hot_days_35c
Sahiwal,2017-18,barley,2017-12-01,2018-03-15,23.293,9.656,32.4,23.5,0,0
Sahiwal,2017-18,cotton,2017-05-15,2017-10-31,37.176,26.409,46.3,201.3,0,135
Sahiwal,2017-18,jowar,2017-07-01,2017-10-15,36.963,27.204,41.5,107.5,0,93
Sahiwal,2017-18,maize,2017-08-01,2017-11-15,34.909,23.953,41.5,88.1,0,64
Sahiwal,2017-18,potato,2017-10-15,2018-02-15,24.205,10.822,35.5,21.4,0,1
Sahiwal,2017-18,rice,2017-06-15,2017-10-15,36.911,27.154,41.5,179.2,0,103
Sahiwal,2017-18,sugarcane,2017-03-01,2017-11-30,35.026,23.136,46.3,234.3,0,175
Sahiwal,2017-18,tomato,2017-09-01,2017-12-31,29.3,16.949,38.1,40.8,0,35
Sahiwal,2018-19,bajra,2018-07-15,2018-10-15,35.956,26.588,39.6,81.7,0,64
Sahiwal,2018-19,barley,2018-12-01,2019-03-15,20.109,8.304,26.1,86.0,0,0
Sahiwal,2018-19,cotton,2018-05-15,2018-10-31,36.549,26.181,45.0,159.6,0,116
Sahiwal,2018-19,jowar,2018-07-01,2018-10-15,36.105,26.833,39.9,95.7,0,75
Sahiwal,2018-19,maize,2018-08-01,2018-11-15,34.026,23.448,39.6,31.4,0,52
Sahiwal,2018-19,onion,2018-12-01,2019-04-30,23.998,11.675,40.1,106.3,0,18
Sahiwal,2018-19,potato,2018-10-15,2019-02-15,23.065,10.661,33.0,45.2,0,0
Sahiwal,2018-19,rice,2018-06-15,2018-10-15,36.177,26.927,40.5,145.5,0,85
Sahiwal,2018-19,sugarcane,2018-03-01,2018-11-30,34.773,23.235,45.0,193.5,0,145
Sahiwal,2018-19,tomato,2018-09-01,2018-12-31,28.98,16.82,38.2,4.9,0,24
Sahiwal,2019-20,bajra,2019-07-15,2019-10-15,36.174,27.085,41.2,205.5,0,64
Sahiwal,2019-20,cotton,2019-05-15,2019-10-31,36.869,26.426,44.5,245.6,0,119
Sahiwal,2019-20,jowar,2019-07-01,2019-10-15,36.636,27.499,42.3,224.5,0,78
Sahiwal,2019-20,maize,2019-08-01,2019-11-15,34.166,24.207,40.7,133.6,0,53
Sahiwal,2019-20,onion,2019-12-01,2020-04-30,23.039,11.372,38.2,218.0,1,6
Sahiwal,2019-20,potato,2019-10-15,2020-02-15,22.087,10.423,34.7,71.4,1,0
Sahiwal,2019-20,rice,2019-06-15,2019-10-15,36.892,27.56,42.3,236.5,0,93
Sahiwal,2019-20,sugarcane,2019-03-01,2019-11-30,34.191,22.94,44.5,294.4,0,151
Sahiwal,2019-20,tomato,2019-09-01,2019-12-31,28.491,17.359,40.7,71.4,1,29
Sahiwal,2019-20,wheat,2019-12-01,2020-03-15,20.028,8.403,28.6,167.8,1,0
Sahiwal,2020-21,bajra,2020-07-15,2020-10-15,36.869,26.949,40.7,139.9,0,75
Sahiwal,2020-21,barley,2020-12-01,2021-03-15,23.35,9.681,33.3,23.6,0,0
Sahiwal,2020-21,cotton,2020-05-15,2020-10-31,37.475,26.491,44.0,169.8,0,135
Sahiwal,2020-21,jowar,2020-07-01,2020-10-15,37.191,27.284,43.0,154.3,0,89
Sahiwal,2020-21,onion,2020-12-01,2021-04-30,26.688,12.726,41.6,40.4,0,16
Sahiwal,2020-21,potato,2020-10-15,2021-02-15,24.18,10.467,36.5,27.9,0,7
Sahiwal,2020-21,rice,2020-06-15,2020-10-15,37.664,27.678,43.9,165.5,0,105
Sahiwal,2020-21,sugarcane,2020-03-01,2020-11-30,34.182,22.746,44.0,343.0,0,151
Sahiwal,2020-21,tomato,2020-09-01,2020-12-31,30.024,16.884,39.5,64.9,0,44
Sahiwal,2021-22,cotton,2021-05-15,2021-10-31,36.911,26.741,44.1,142.8,0,129
Sahiwal,2021-22,maize,2021-08-01,2021-11-15,34.622,24.116,41.4,49.3,0,58
Sahiwal,2021-22,onion,2021-12-01,2022-04-30,27.513,13.634,45.0,50.8,0,48
Sahiwal,2021-22,potato,2021-10-15,2022-02-15,23.735,10.906,33.9,42.7,0,0
Sahiwal,2021-22,rice,2021-06-15,2021-10-15,37.146,27.743,42.6,96.9,0,99
Sahiwal,2021-22,sugarcane,2021-03-01,2021-11-30,35.228,23.504,44.1,161.4,0,158
Sahiwal,2021-22,tomato,2021-09-01,2021-12-31,29.464,17.368,39.0,38.2,0,27
Sahiwal,2022-23,cotton,2022-05-15,2022-10-31,36.682,26.01,46.9,372.2,0,98
Sahiwal,2022-23,maize,2022-08-01,2022-11-15,34.139,23.474,38.2,86.1,0,43
Sahiwal,2022-23,onion,2022-12-01,2023-04-30,25.132,12.191,39.6,116.0,1,9
Sahiwal,2022-23,potato,2022-10-15,2023-02-15,24.261,10.994,35.0,31.9,1,0
Sahiwal,2022-23,rice,2022-06-15,2022-10-15,35.527,26.321,45.1,372.2,0,68
Sahiwal,2022-23,sugarcane,2022-03-01,2022-11-30,36.18,23.745,46.9,383.1,0,160
Sahiwal,2022-23,tomato,2022-09-01,2022-12-31,30.01,17.455,38.2,20.0,0,32
Sahiwal,2023-24,cotton,2023-05-15,2023-10-31,35.824,25.687,42.6,367.3,0,111
Sahiwal,2023-24,maize,2023-08-01,2023-11-15,33.739,23.549,39.4,117.8,0,56
Sahiwal,2023-24,onion,2023-12-01,2024-04-30,24.5,11.586,39.7,59.4,0,14
Sahiwal,2023-24,potato,2023-10-15,2024-02-15,22.773,10.777,31.7,56.3,0,0
Sahiwal,2023-24,rice,2023-06-15,2023-10-15,36.433,26.994,42.6,269.0,0,89
Sahiwal,2023-24,sugarcane,2023-03-01,2023-11-30,33.515,22.405,42.6,462.7,0,128
Sahiwal,2023-24,tomato,2023-09-01,2023-12-31,29.236,17.487,39.4,106.8,0,27
Sahiwal,2023-24,wheat,2023-12-01,2024-03-15,20.837,8.435,27.4,31.9,0,0
Sahiwal,2024-25,cotton,2024-05-15,2024-10-31,38.164,27.038,47.2,247.1,0,130
Sahiwal,2024-25,onion,2024-12-01,2025-04-30,27.342,13.024,44.7,32.0,0,32
Sahiwal,2024-25,potato,2024-10-15,2025-02-15,25.281,11.872,36.4,3.5,0,8
Sahiwal,2024-25,rice,2024-06-15,2024-10-15,37.151,27.412,44.9,242.4,0,92
Sahiwal,2024-25,sugarcane,2024-03-01,2024-11-30,35.66,23.493,47.2,292.0,0,157
Sahiwal,2024-25,tomato,2024-09-01,2024-12-31,30.561,18.266,39.2,15.7,0,38
Sahiwal,2024-25,wheat,2024-12-01,2025-03-15,22.931,9.5,32.3,31.5,0,0
Sargodha,2017-18,bajra,2017-07-15,2017-10-15,35.403,25.666,39.2,181.2,0,54
Sargodha,2017-18,barley,2017-12-01,2018-03-15,22.013,8.316,31.1,52.7,0,0
Sargodha,2017-18,cotton,2017-05-15,2017-10-31,36.004,25.206,45.6,285.5,0,107
Sargodha,2017-18,jowar,2017-07-01,2017-10-15,35.599,25.943,39.5,222.8,0,66
Sargodha,2017-18,maize,2017-08-01,2017-11-15,33.734,22.854,39.2,174.7,0,46
Sargodha,2017-18,potato,2017-10-15,2018-02-15,23.094,9.666,34.3,58.3,0,0
Sargodha,2017-18,rice,2017-06-15,2017-10-15,35.747,26.011,40.7,252.6,0,77
Sargodha,2017-18,sugarcane,2017-03-01,2017-11-30,33.793,21.86,45.6,371.0,0,139
Sargodha,2017-18,tomato,2017-09-01,2017-12-31,28.469,16.055,37.7,85.0,0,25
Sargodha,2018-19,bajra,2018-07-15,2018-10-15,36.045,25.915,41.3,152.3,0,58
Sargodha,2018-19,barley,2018-12-01,2019-03-15,19.012,7.094,25.3,153.2,0,0
Sargodha,2018-19,cotton,2018-05-15,2018-10-31,36.509,25.405,43.7,246.1,0,111
Sargodha,2018-19,jowar,2018-07-01,2018-10-15,36.221,26.111,41.3,172.6,0,69
Sargodha,2018-19,maize,2018-08-01,2018-11-15,34.002,22.676,41.3,63.0,0,50
Sargodha,2018-19,onion,2018-12-01,2019-04-30,22.836,10.35,37.1,212.4,0,11
Sargodha,2018-19,potato,2018-10-15,2019-02-15,22.224,9.579,31.8,86.2,0,0
Sargodha,2018-19,rice,2018-06-15,2018-10-15,36.252,26.187,41.3,217.5,0,80
Sargodha,2018-19,sugarcane,2018-03-01,2018-11-30,34.253,22.137,43.7,350.9,0,134
Sargodha,2018-19,tomato,2018-09-01,2018-12-31,28.775,16.04,40.6,37.6,0,24
Sargodha,2019-20,bajra,2019-07-15,2019-10-15,34.886,26.184,40.5,224.2,0,42
Sargodha,2019-20,cotton,2019-05-15,2019-10-31,35.925,25.53,44.3,301.1,0,97
Sargodha,2019-20,jowar,2019-07-01,2019-10-15,35.391,26.485,42.9,246.6,0,55
Sargodha,2019-20,maize,2019-08-01,2019-11-15,32.977,23.294,40.5,194.4,0,36
Sargodha,2019-20,onion,2019-12-01,2020-04-30,21.882,10.521,37.6,299.6,3,2
Sargodha,2019-20,potato,2019-10-15,2020-02-15,21.056,9.792,33.9,102.0,3,0
Sargodha,2019-20,rice,2019-06-15,2019-10-15,35.82,26.617,42.9,265.5,0,70
Sargodha,2019-20,sugarcane,2019-03-01,2019-11-30,33.148,21.885,44.3,416.1,0,119
Sargodha,2019-20,tomato,2019-09-01,2019-12-31,27.201,16.535,40.5,123.8,1,17
Sargodha,2019-20,wheat,2019-12-01,2020-03-15,19.075,7.828,27.8,209.0,3,0
Sargodha,2020-21,bajra,2020-07-15,2020-10-15,35.701,25.946,41.6,303.9,0,54
Sargodha,2020-21,cotton,2020-05-15,2020-10-31,36.164,25.07,43.1,423.6,0,105
Sargodha,2020-21,jowar,2020-07-01,2020-10-15,35.985,26.204,41.7,368.8,0,67
Sargodha,2020-21,onion,2020-12-01,2021-04-30,24.418,11.316,39.5,83.9,1,6
Sargodha,2020-21,potato,2020-10-15,2021-02-15,22.638,9.171,33.7,43.8,1,0
Sargodha,2020-21,rice,2020-06-15,2020-10-15,36.476,26.402,42.8,411.1,0,83
Sargodha,2020-21,sugarcane,2020-03-01,2020-11-30,32.765,21.319,43.1,636.0,0,115
Sargodha,2020-21,tomato,2020-09-01,2020-12-31,28.084,15.381,37.9,122.5,0,19
Sargodha,2021-22,barley,2021-12-01,2022-03-15,20.511,8.413,33.9,137.5,0,0
Sargodha,2021-22,cotton,2021-05-15,2021-10-31,36.862,25.906,45.9,196.4,0,127
Sargodha,2021-22,maize,2021-08-01,2021-11-15,34.516,23.471,41.3,113.7,0,57
Sargodha,2021-22,onion,2021-12-01,2022-04-30,25.96,12.379,44.5,138.7,0,39
Sargodha,2021-22,potato,2021-10-15,2022-02-15,22.626,9.864,35.6,92.3,0,4
Sargodha,2021-22,rice,2021-06-15,2021-10-15,36.911,26.974,42.4,174.6,0,94
Sargodha,2021-22,sugarcane,2021-03-01,2021-11-30,34.16,22.245,45.9,248.0,0,142
Sargodha,2021-22,tomato,2021-09-01,2021-12-31,28.776,16.356,38.6,76.5,0,28
Sargodha,2022-23,barley,2022-12-01,2023-03-15,22.742,9.259,33.7,43.9,3,0
Sargodha,2022-23,cotton,2022-05-15,2022-10-31,36.217,25.219,47.1,486.6,0,91
Sargodha,2022-23,maize,2022-08-01,2022-11-15,33.255,22.672,38.3,198.3,0,36
Sargodha,2022-23,onion,2022-12-01,2023-04-30,24.946,11.648,39.3,157.8,3,12
Sargodha,2022-23,potato,2022-10-15,2023-02-15,23.051,10.069,34.1,80.3,3,0
Sargodha,2022-23,rice,2022-06-15,2022-10-15,35.231,25.664,45.6,484.8,0,62
Sargodha,2022-23,sugarcane,2022-03-01,2022-11-30,35.187,22.693,47.1,561.5,0,143
Sargodha,2022-23,tomato,2022-09-01,2022-12-31,28.809,16.61,38.3,93.6,0,26
Sargodha,2023-24,cotton,2023-05-15,2023-10-31,36.039,25.059,44.8,373.7,0,108
Sargodha,2023-24,maize,2023-08-01,2023-11-15,33.987,22.997,42.3,195.9,0,54
Sargodha,2023-24,onion,2023-12-01,2024-04-30,23.546,10.589,37.5,176.0,0,2
Sargodha,2023-24,potato,2023-10-15,2024-02-15,22.229,10.002,31.4,91.1,0,0
Sargodha,2023-24,rice,2023-06-15,2023-10-15,36.633,26.267,44.3,313.0,0,85
Sargodha,2023-24,sugarcane,2023-03-01,2023-11-30,33.468,21.744,44.8,555.0,0,125
Sargodha,2023-24,tomato,2023-09-01,2023-12-31,28.869,16.744,40.7,150.5,0,24
Sargodha,2023-24,wheat,2023-12-01,2024-03-15,20.31,7.666,28.0,82.4,0,0
Sargodha,2024-25,cotton,2024-05-15,2024-10-31,36.499,25.591,46.0,575.6,0,91
Sargodha,2024-25,onion,2024-12-01,2025-04-30,26.701,12.401,43.5,69.3,0,28
Sargodha,2024-25,potato,2024-10-15,2025-02-15,24.166,10.991,34.3,37.7,0,0
Sargodha,2024-25,rice,2024-06-15,2024-10-15,35.497,26.023,44.5,548.7,0,60
Sargodha,2024-25,sugarcane,2024-03-01,2024-11-30,33.833,21.986,46.0,728.6,0,103
Sargodha,2024-25,tomato,2024-09-01,2024-12-31,28.557,16.824,37.6,115.0,0,12
Sargodha,2024-25,wheat,2024-12-01,2025-03-15,22.333,8.954,31.3,67.6,0,0
Sheikhupura,2017-18,bajra,2017-07-15,2017-10-15,35.056,25.495,39.3,290.7,0,45
Sheikhupura,2017-18,barley,2017-12-01,2018-03-15,22.533,8.612,31.1,55.8,0,0
Sheikhupura,2017-18,cotton,2017-05-15,2017-10-31,35.858,25.162,46.1,427.2,0,97
Sheikhupura,2017-18,jowar,2017-07-01,2017-10-15,35.246,25.731,39.3,325.0,0,57
Sheikhupura,2017-18,maize,2017-08-01,2017-11-15,33.521,22.607,39.3,240.0,0,39
Sheikhupura,2017-18,potato,2017-10-15,2018-02-15,23.613,9.906,35.0,51.4,0,0
Sheikhupura,2017-18,rice,2017-06-15,2017-10-15,35.389,25.833,40.2,389.1,0,68
Sheikhupura,2017-18,sugarcane,2017-03-01,2017-11-30,33.996,21.943,46.1,492.1,0,133
Sheikhupura,2017-18,tomato,2017-09-01,2017-12-31,28.812,16.176,39.3,68.7,0,24
Sheikhupura,2018-19,bajra,2018-07-15,2018-10-15,34.571,25.217,38.9,225.5,0,39
Sheikhupura,2018-19,barley,2018-12-01,2019-03-15,19.539,7.384,25.1,125.1,0,0
Sheikhupura,2018-19,jowar,2018-07-01,2018-10-15,34.733,25.461,39.0,243.9,0,48
Sheikhupura,2018-19,maize,2018-08-01,2018-11-15,32.955,22.074,38.9,78.4,0,34
Sheikhupura,2018-19,onion,2018-12-01,2019-04-30,23.591,10.792,39.5,153.3,0,18
Sheikhupura,2018-19,potato,2018-10-15,2019-02-15,22.598,9.605,32.9,70.8,0,0
Sheikhupura,2018-19,rice,2018-06-15,2018-10-15,34.967,25.601,40.7,311.2,0,58
Sheikhupura,2018-19,sugarcane,2018-03-01,2018-11-30,33.692,21.806,43.3,404.2,0,110
Sheikhupura,2018-19,tomato,2018-09-01,2018-12-31,28.491,15.657,38.4,31.7,0,18
Sheikhupura,2019-20,bajra,2019-07-15,2019-10-15,34.391,25.884,39.9,241.7,0,34
Sheikhupura,2019-20,barley,2019-12-01,2020-03-15,19.527,7.972,27.8,192.4,3,0
Sheikhupura,2019-20,jowar,2019-07-01,2019-10-15,34.925,26.267,42.3,256.4,0,47
Sheikhupura,2019-20,maize,2019-08-01,2019-11-15,32.811,23.19,39.9,170.2,0,31
Sheikhupura,2019-20,onion,2019-12-01,2020-04-30,22.566,10.773,37.7,266.7,3,8
Sheikhupura,2019-20,potato,2019-10-15,2020-02-15,21.539,9.973,33.6,119.8,3,0
Sheikhupura,2019-20,rice,2019-06-15,2019-10-15,35.448,26.405,42.3,284.6,0,61
Sheikhupura,2019-20,sugarcane,2019-03-01,2019-11-30,33.486,22.109,45.0,377.4,0,119
Sheikhupura,2019-20,tomato,2019-09-01,2019-12-31,27.451,16.656,39.9,124.0,2,17
Sheikhupura,2019-20,wheat,2019-12-01,2020-03-15,19.527,7.972,27.8,192.4,3,0
Sheikhupura,2020-21,bajra,2020-07-15,2020-10-15,35.12,25.541,39.8,342.5,0,50
Sheikhupura,2020-21,jowar,2020-07-01,2020-10-15,35.471,25.856,43.1,378.2,0,61
Sheikhupura,2020-21,onion,2020-12-01,2021-04-30,24.573,11.454,40.2,96.8,0,8
Sheikhupura,2020-21,potato,2020-10-15,2021-02-15,22.583,9.444,33.6,78.9,0,0
Sheikhupura,2020-21,rice,2020-06-15,2020-10-15,36.039,26.195,43.2,407.6,0,77
Sheikhupura,2020-21,sugarcane,2020-03-01,2020-11-30,32.949,21.415,43.9,594.3,0,119
Sheikhupura,2020-21,tomato,2020-09-01,2020-12-31,28.216,15.411,37.0,93.7,0,19
Sheikhupura,2021-22,maize,2021-08-01,2021-11-15,33.171,22.853,39.9,167.4,0,36
Sheikhupura,2021-22,onion,2021-12-01,2022-04-30,25.315,12.072,42.6,156.1,0,33
Sheikhupura,2021-22,potato,2021-10-15,2022-02-15,22.14,9.84,33.8,131.0,0,0
Sheikhupura,2021-22,rice,2021-06-15,2021-10-15,35.929,26.593,42.6,211.6,0,71
Sheikhupura,2021-22,sugarcane,2021-03-01,2021-11-30,33.647,21.972,44.0,312.7,0,115
Sheikhupura,2021-22,tomato,2021-09-01,2021-12-31,27.9,16.114,36.7,137.5,0,11
Sheikhupura,2022-23,maize,2022-08-01,2022-11-15,32.706,22.501,37.4,151.2,0,24
Sheikhupura,2022-23,onion,2022-12-01,2023-04-30,24.654,11.556,38.8,150.2,2,9
Sheikhupura,2022-23,potato,2022-10-15,2023-02-15,23.018,10.19,33.6,83.2,2,0
Sheikhupura,2022-23,rice,2022-06-15,2022-10-15,34.597,25.46,45.2,477.6,0,48
Sheikhupura,2022-23,sugarcane,2022-03-01,2022-11-30,34.495,22.281,45.6,541.2,0,123
Sheikhupura,2022-23,tomato,2022-09-01,2022-12-31,28.611,16.543,37.4,60.2,0,19
Sheikhupura,2023-24,maize,2023-08-01,2023-11-15,32.527,22.211,39.5,295.8,0,36
Sheikhupura,2023-24,onion,2023-12-01,2024-04-30,22.974,10.472,36.3,109.8,0,1
Sheikhupura,2023-24,potato,2023-10-15,2024-02-15,21.46,9.803,30.2,104.9,0,0
Sheikhupura,2023-24,rice,2023-06-15,2023-10-15,35.02,25.514,42.5,486.4,0,60
Sheikhupura,2023-24,sugarcane,2023-03-01,2023-11-30,32.485,21.227,42.7,690.5,0,93
Sheikhupura,2023-24,tomato,2023-09-01,2023-12-31,27.743,16.27,38.1,231.8,0,14
Sheikhupura,2023-24,wheat,2023-12-01,2024-03-15,19.509,7.521,26.6,55.9,0,0
Sheikhupura,2024-25,onion,2024-12-01,2025-04-30,25.301,11.852,42.5,88.8,0,25
Sheikhupura,2024-25,potato,2024-10-15,2025-02-15,23.023,10.784,33.5,8.4,0,0
Sheikhupura,2024-25,rice,2024-06-15,2024-10-15,35.22,25.833,43.2,513.7,0,57
Sheikhupura,2024-25,sugarcane,2024-03-01,2024-11-30,33.578,21.813,44.4,597.5,0,99
Sheikhupura,2024-25,tomato,2024-09-01,2024-12-31,28.225,16.762,37.2,72.3,0,14
Sheikhupura,2024-25,wheat,2024-12-01,2025-03-15,20.732,8.579,29.7,82.6,0,0
Sialkot,2017-18,bajra,2017-07-15,2017-10-15,33.143,24.088,35.8,295.0,0,7
Sialkot,2017-18,barley,2017-12-01,2018-03-15,21.428,7.85,30.0,110.3,0,0
Sialkot,2017-18,jowar,2017-07-01,2017-10-15,33.346,24.379,37.7,365.3,0,13
Sialkot,2017-18,maize,2017-08-01,2017-11-15,31.69,21.273,35.4,247.6,0,5
Sialkot,2017-18,potato,2017-10-15,2018-02-15,22.348,9.1,32.9,120.5,0,0
Sialkot,2017-18,rice,2017-06-15,2017-10-15,33.579,24.59,39.2,428.0,0,23
Sialkot,2017-18,sugarcane,2017-03-01,2017-11-30,32.228,20.596,44.8,622.6,0,71
Sialkot,2017-18,tomato,2017-09-01,2017-12-31,27.293,15.105,35.4,88.8,0,4
Sialkot,2018-19,bajra,2018-07-15,2018-10-15,32.509,23.747,35.2,449.4,0,4
Sialkot,2018-19,barley,2018-12-01,2019-03-15,18.519,6.934,23.5,259.4,1,0
Sialkot,2018-19,jowar,2018-07-01,2018-10-15,32.765,24.045,38.2,547.0,0,11
Sialkot,2018-19,maize,2018-08-01,2018-11-15,30.78,20.591,35.2,346.8,0,4
Sialkot,2018-19,onion,2018-12-01,2019-04-30,22.393,10.093,38.4,290.0,1,11
Sialkot,2018-19,potato,2018-10-15,2019-02-15,21.163,8.833,30.8,187.5,1,0
Sialkot,2018-19,rice,2018-06-15,2018-10-15,33.248,24.299,40.9,645.7,0,21
Sialkot,2018-19,sugarcane,2018-03-01,2018-11-30,32.22,20.602,43.4,789.8,0,65
Sialkot,2018-19,tomato,2018-09-01,2018-12-31,26.51,14.269,34.8,209.5,1,0
Sialkot,2019-20,bajra,2019-07-15,2019-10-15,32.339,24.356,37.4,492.2,0,10
Sialkot,2019-20,jowar,2019-07-01,2019-10-15,32.867,24.694,42.6,558.0,0,18
Sialkot,2019-20,maize,2019-08-01,2019-11-15,30.785,21.739,36.2,307.0,0,7
Sialkot,2019-20,onion,2019-12-01,2020-04-30,21.091,10.051,33.9,375.3,0,0
Sialkot,2019-20,potato,2019-10-15,2020-02-15,20.071,9.551,31.6,216.8,0,0
Sialkot,2019-20,rice,2019-06-15,2019-10-15,33.668,24.965,42.8,562.6,0,32
Sialkot,2019-20,sugarcane,2019-03-01,2019-11-30,31.919,20.939,43.6,754.5,0,81
Sialkot,2019-20,tomato,2019-09-01,2019-12-31,25.417,15.657,36.2,229.4,0,4
Sialkot,2019-20,wheat,2019-12-01,2020-03-15,18.197,7.557,24.5,281.3,0,0
Sialkot,2020-21,bajra,2020-07-15,2020-10-15,33.632,24.302,37.6,348.8,0,23
Sialkot,2020-21,barley,2020-12-01,2021-03-15,20.43,8.347,28.8,108.1,3,0
Sialkot,2020-21,jowar,2020-07-01,2020-10-15,34.129,24.698,41.8,399.3,0,35
Sialkot,2020-21,onion,2020-12-01,2021-04-30,23.397,10.911,38.4,189.8,3,6
Sialkot,2020-21,potato,2020-10-15,2021-02-15,21.066,8.902,31.7,132.8,3,0
Sialkot,2020-21,rice,2020-06-15,2020-10-15,34.654,24.976,41.8,433.3,0,49
Sialkot,2020-21,sugarcane,2020-03-01,2020-11-30,31.233,20.146,41.8,746.9,0,70
Sialkot,2020-21,tomato,2020-09-01,2020-12-31,26.689,14.477,35.7,75.5,2,10
Sialkot,2021-22,maize,2021-08-01,2021-11-15,30.943,21.485,36.7,255.9,0,7
Sialkot,2021-22,onion,2021-12-01,2022-04-30,24.452,11.47,41.3,233.9,1,34
Sialkot,2021-22,potato,2021-10-15,2022-02-15,20.849,8.884,32.7,236.6,1,0
Sialkot,2021-22,rice,2021-06-15,2021-10-15,34.107,25.363,44.5,449.0,0,36
Sialkot,2021-22,sugarcane,2021-03-01,2021-11-30,32.069,20.885,44.5,627.8,0,75
Sialkot,2021-22,tomato,2021-09-01,2021-12-31,26.298,14.989,33.7,178.9,1,0
Sialkot,2022-23,maize,2022-08-01,2022-11-15,30.91,21.163,35.8,244.7,0,1
Sialkot,2022-23,onion,2022-12-01,2023-04-30,23.314,10.774,37.3,213.3,1,6
Sialkot,2022-23,potato,2022-10-15,2023-02-15,21.347,9.269,31.9,132.4,1,0
Sialkot,2022-23,rice,2022-06-15,2022-10-15,33.21,24.38,44.6,623.9,0,22
Sialkot,2022-23,sugarcane,2022-03-01,2022-11-30,33.077,21.24,44.8,713.9,0,96
Sialkot,2022-23,tomato,2022-09-01,2022-12-31,26.575,15.106,34.4,132.9,0,0
Sialkot,2023-24,maize,2023-08-01,2023-11-15,31.225,20.928,37.1,387.6,0,13
Sialkot,2023-24,onion,2023-12-01,2024-04-30,22.45,9.88,35.8,250.6,0,2
Sialkot,2023-24,potato,2023-10-15,2024-02-15,20.903,8.977,28.6,183.3,0,0
Sialkot,2023-24,rice,2023-06-15,2023-10-15,33.891,24.395,41.6,714.6,0,35
Sialkot,2023-24,sugarcane,2023-03-01,2023-11-30,31.537,20.191,42.0,1061.7,0,67
Sialkot,2023-24,tomato,2023-09-01,2023-12-31,26.848,15.211,37.1,209.9,0,9
Sialkot,2023-24,wheat,2023-12-01,2024-03-15,18.925,6.987,25.6,162.7,0,0
Sialkot,2024-25,onion,2024-12-01,2025-04-30,23.503,10.429,37.1,252.8,0,10
Sialkot,2024-25,potato,2024-10-15,2025-02-15,22.395,9.97,32.0,89.0,0,0
Sialkot,2024-25,rice,2024-06-15,2024-10-15,34.326,24.949,45.2,684.7,0,34
Sialkot,2024-25,sugarcane,2024-03-01,2024-11-30,32.793,20.964,45.2,863.7,0,77
Sialkot,2024-25,tomato,2024-09-01,2024-12-31,27.32,15.861,35.8,135.1,0,2
Sialkot,2024-25,wheat,2024-12-01,2025-03-15,20.023,7.787,25.8,221.7,0,0
Toba Tek Singh,2017-18,bajra,2017-07-15,2017-10-15,36.945,26.872,41.6,131.4,0,78
Toba Tek Singh,2017-18,barley,2017-12-01,2018-03-15,23.114,9.469,32.2,27.9,0,0
Toba Tek Singh,2017-18,cotton,2017-05-15,2017-10-31,37.152,26.248,45.5,246.4,0,134
Toba Tek Singh,2017-18,jowar,2017-07-01,2017-10-15,37.058,27.112,41.6,149.8,0,91
Toba Tek Singh,2017-18,maize,2017-08-01,2017-11-15,34.771,23.77,41.6,104.4,0,61
Toba Tek Singh,2017-18,potato,2017-10-15,2018-02-15,23.99,10.646,34.5,30.7,0,0
Toba Tek Singh,2017-18,rice,2017-06-15,2017-10-15,37.042,27.059,41.6,222.7,0,103
Toba Tek Singh,2017-18,sugarcane,2017-03-01,2017-11-30,34.844,22.936,45.5,298.7,0,174
Toba Tek Singh,2017-18,tomato,2017-09-01,2017-12-31,29.147,16.824,38.3,60.6,0,33
Toba Tek Singh,2018-19,bajra,2018-07-15,2018-10-15,35.989,26.48,39.6,87.7,0,65
Toba Tek Singh,2018-19,barley,2018-12-01,2019-03-15,19.834,8.093,25.6,96.3,0,0
Toba Tek Singh,2018-19,cotton,2018-05-15,2018-10-31,36.478,25.998,45.2,163.4,0,119
Toba Tek Singh,2018-19,jowar,2018-07-01,2018-10-15,36.178,26.72,40.1,101.8,0,77
Toba Tek Singh,2018-19,maize,2018-08-01,2018-11-15,33.905,23.251,39.6,32.8,0,50
Toba Tek Singh,2018-19,onion,2018-12-01,2019-04-30,23.668,11.43,39.4,137.4,0,15
Toba Tek Singh,2018-19,potato,2018-10-15,2019-02-15,22.769,10.429,32.6,39.5,0,0
Toba Tek Singh,2018-19,rice,2018-06-15,2018-10-15,36.188,26.811,40.1,141.3,0,88
Toba Tek Singh,2018-19,sugarcane,2018-03-01,2018-11-30,34.593,22.997,45.2,201.5,0,146
Toba Tek Singh,2018-19,tomato,2018-09-01,2018-12-31,28.752,16.552,38.4,9.2,0,23
Toba Tek Singh,2019-20,bajra,2019-07-15,2019-10-15,36.385,27.209,41.2,225.2,0,65
Toba Tek Singh,2019-20,barley,2019-12-01,2020-03-15,19.77,8.374,28.7,170.4,1,0
Toba Tek Singh,2019-20,cotton,2019-05-15,2019-10-31,36.779,26.379,44.0,290.9,0,119
Toba Tek Singh,2019-20,jowar,2019-07-01,2019-10-15,36.736,27.52,42.1,240.4,0,79
Toba Tek Singh,2019-20,maize,2019-08-01,2019-11-15,34.304,24.302,41.2,159.3,0,54
Toba Tek Singh,2019-20,onion,2019-12-01,2020-04-30,22.686,11.293,37.4,245.2,1,5
Toba Tek Singh,2019-20,potato,2019-10-15,2020-02-15,21.886,10.358,34.6,66.4,1,0
Toba Tek Singh,2019-20,rice,2019-06-15,2019-10-15,36.868,27.516,42.1,267.2,0,94
