District,Season,Crop,Area (ha),Production (tonnes),Yield,Yield Unit,Source
Chakwal,2021-22,jowar,4803.0,911.0,0.1897,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chakwal,2022-23,jowar,1441.0,550.0,0.3817,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chakwal,2023-24,jowar,607.0,228.0,0.3756,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chakwal,2024-25,jowar,587.0,233.0,0.3969,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chiniot,2017-18,jowar,3500.0,3300.0,0.9429,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chiniot,2018-19,jowar,4900.0,4600.0,0.9388,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chiniot,2019-20,jowar,2830.0,2600.0,0.9187,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chiniot,2020-21,jowar,1495.0,1658.0,1.109,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chiniot,2021-22,jowar,1257.0,1143.0,0.9093,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2017-18,jowar,10500.0,6700.0,0.6381,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2018-19,jowar,8900.0,6100.0,0.6854,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2019-20,jowar,10120.0,6600.0,0.6522,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2020-21,jowar,5993.0,3918.0,0.6538,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2021-22,jowar,932.0,0.0,0.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2022-23,jowar,909.0,314.0,0.3454,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2023-24,jowar,728.0,265.0,0.364,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2024-25,jowar,485.0,190.0,0.3918,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Faisalabad,2017-18,jowar,700.0,1000.0,1.4286,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Faisalabad,2018-19,jowar,300.0,400.0,1.3333,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Faisalabad,2019-20,jowar,300.0,400.0,1.3333,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Faisalabad,2020-21,jowar,81.0,114.0,1.4074,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujranwala,2017-18,jowar,4200.0,2000.0,0.4762,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujranwala,2018-19,jowar,3500.0,1700.0,0.4857,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujranwala,2019-20,jowar,1660.0,800.0,0.4819,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujranwala,2020-21,jowar,1162.0,686.0,0.5904,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2017-18,jowar,10800.0,7800.0,0.7222,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2018-19,jowar,10300.0,7600.0,0.7379,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2019-20,jowar,4130.0,3700.0,0.8959,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2020-21,jowar,2323.0,2092.0,0.9006,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2021-22,jowar,1325.0,1151.0,0.8687,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Hafizabad,2017-18,jowar,3600.0,1900.0,0.5278,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Hafizabad,2018-19,jowar,3500.0,1800.0,0.5143,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Hafizabad,2019-20,jowar,3200.0,1700.0,0.5312,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Hafizabad,2020-21,jowar,3053.0,1699.0,0.5565,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Hafizabad,2021-22,jowar,2152.0,1298.0,0.6032,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhang,2017-18,jowar,3400.0,3200.0,0.9412,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhang,2018-19,jowar,4200.0,3800.0,0.9048,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhang,2019-20,jowar,410.0,400.0,0.9756,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhang,2020-21,jowar,182.0,198.0,1.0879,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhang,2021-22,jowar,382.0,306.0,0.801,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhang,2022-23,jowar,344.0,595.0,1.7297,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhelum,2017-18,jowar,3000.0,1600.0,0.5333,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhelum,2018-19,jowar,3600.0,1800.0,0.5,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhelum,2019-20,jowar,3380.0,1600.0,0.4734,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhelum,2020-21,jowar,1416.0,679.0,0.4795,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Kasur,2017-18,jowar,600.0,300.0,0.5,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Kasur,2018-19,jowar,500.0,200.0,0.4,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Kasur,2019-20,jowar,510.0,200.0,0.3922,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Kasur,2020-21,jowar,480.0,582.0,1.2125,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Kasur,2024-25,jowar,2.0,3.0,1.5,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khanewal,2017-18,jowar,1400.0,1600.0,1.1429,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khanewal,2018-19,jowar,1500.0,1600.0,1.0667,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khanewal,2019-20,jowar,1260.0,1200.0,0.9524,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khanewal,2020-21,jowar,1990.0,2264.0,1.1377,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khanewal,2021-22,jowar,1518.0,866.0,0.5705,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khanewal,2022-23,jowar,943.0,559.0,0.5928,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khanewal,2023-24,jowar,324.0,186.0,0.5741,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khanewal,2024-25,jowar,122.0,77.0,0.6311,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khushab,2017-18,jowar,16800.0,8100.0,0.4821,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khushab,2018-19,jowar,17700.0,8800.0,0.4972,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khushab,2019-20,jowar,13960.0,7200.0,0.5158,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khushab,2020-21,jowar,7336.0,4272.0,0.5823,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lahore,2017-18,jowar,500.0,400.0,0.8,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lahore,2018-19,jowar,1000.0,800.0,0.8,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lahore,2019-20,jowar,1000.0,800.0,0.8,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lahore,2020-21,jowar,495.0,416.0,0.8404,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2017-18,jowar,2200.0,1600.0,0.7273,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2018-19,jowar,1600.0,1100.0,0.6875,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2019-20,jowar,1630.0,1200.0,0.7362,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2020-21,jowar,1416.0,1175.0,0.8298,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2021-22,jowar,951.0,404.0,0.4248,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2022-23,jowar,755.0,299.0,0.396,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2023-24,jowar,708.0,270.0,0.3814,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2024-25,jowar,607.0,238.0,0.3921,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lodhran,2017-18,jowar,600.0,700.0,1.1667,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lodhran,2018-19,jowar,800.0,900.0,1.125,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lodhran,2019-20,jowar,460.0,500.0,1.087,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lodhran,2020-21,jowar,347.0,386.0,1.1124,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mandi Bahauddin,2017-18,jowar,17000.0,9600.0,0.5647,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mandi Bahauddin,2018-19,jowar,17200.0,9800.0,0.5698,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mandi Bahauddin,2019-20,jowar,9410.0,5900.0,0.627,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mandi Bahauddin,2020-21,jowar,5650.0,4077.0,0.7216,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mandi Bahauddin,2021-22,jowar,2501.0,2032.0,0.8125,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2017-18,jowar,6100.0,1400.0,0.2295,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2018-19,jowar,6900.0,2100.0,0.3043,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2019-20,jowar,5680.0,1800.0,0.3169,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2020-21,jowar,3300.0,1073.0,0.3252,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2021-22,jowar,1817.0,1118.0,0.6153,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2022-23,jowar,2100.0,1453.0,0.6919,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2024-25,jowar,1619.0,1283.0,0.7925,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Multan,2017-18,jowar,2500.0,1500.0,0.6,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Multan,2018-19,jowar,2200.0,1600.0,0.7273,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Multan,2019-20,jowar,2020.0,1500.0,0.7426,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Multan,2020-21,jowar,1314.0,1209.0,0.9201,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Multan,2021-22,jowar,991.0,594.0,0.5994,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Multan,2022-23,jowar,821.0,517.0,0.6297,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Multan,2023-24,jowar,813.0,494.0,0.6076,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Multan,2024-25,jowar,789.0,470.0,0.5957,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Muzaffargarh,2017-18,jowar,9600.0,6500.0,0.6771,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Muzaffargarh,2018-19,jowar,10300.0,7100.0,0.6893,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Muzaffargarh,2019-20,jowar,10450.0,7400.0,0.7081,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Muzaffargarh,2020-21,jowar,5453.0,4161.0,0.7631,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Nankana Sahib,2017-18,jowar,600.0,500.0,0.8333,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Nankana Sahib,2018-19,jowar,700.0,600.0,0.8571,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Nankana Sahib,2019-20,jowar,200.0,200.0,1.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Nankana Sahib,2020-21,jowar,317.0,276.0,0.8707,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Narowal,2017-18,jowar,300.0,200.0,0.6667,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Narowal,2018-19,jowar,100.0,100.0,1.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Narowal,2019-20,jowar,130.0,100.0,0.7692,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Narowal,2020-21,jowar,309.0,242.0,0.7832,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Okara,2017-18,jowar,400.0,500.0,1.25,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Okara,2018-19,jowar,200.0,400.0,2.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Okara,2019-20,jowar,170.0,400.0,2.3529,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Okara,2020-21,jowar,161.0,381.0,2.3665,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Pakpattan,2017-18,jowar,400.0,700.0,1.75,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Pakpattan,2018-19,jowar,1100.0,2100.0,1.9091,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Pakpattan,2019-20,jowar,1190.0,2900.0,2.437,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Pakpattan,2020-21,jowar,747.0,1848.0,2.4739,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rahim Yar Khan,2017-18,jowar,12600.0,11100.0,0.881,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rahim Yar Khan,2018-19,jowar,11900.0,10600.0,0.8908,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rahim Yar Khan,2019-20,jowar,1050.0,900.0,0.8571,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rahim Yar Khan,2020-21,jowar,1086.0,1213.0,1.1169,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rahim Yar Khan,2021-22,jowar,426.0,337.0,0.7911,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2017-18,jowar,7600.0,2500.0,0.3289,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2018-19,jowar,6300.0,2200.0,0.3492,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2019-20,jowar,7080.0,3600.0,0.5085,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2020-21,jowar,4206.0,2217.0,0.5271,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2021-22,jowar,1654.0,1239.0,0.7491,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2022-23,jowar,1032.0,459.0,0.4448,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2023-24,jowar,809.0,420.0,0.5192,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2024-25,jowar,1156.0,571.0,0.4939,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rawalpindi,2017-18,jowar,29800.0,8600.0,0.2886,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rawalpindi,2018-19,jowar,25700.0,7800.0,0.3035,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rawalpindi,2019-20,jowar,26010.0,7600.0,0.2922,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rawalpindi,2020-21,jowar,6105.0,2618.0,0.4288,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rawalpindi,2021-22,jowar,907.0,493.0,0.5435,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rawalpindi,2022-23,jowar,1192.0,1028.0,0.8624,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rawalpindi,2023-24,jowar,1038.0,473.0,0.4557,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rawalpindi,2024-25,jowar,84.0,37.0,0.4405,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sahiwal,2017-18,jowar,100.0,200.0,2.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sahiwal,2018-19,jowar,300.0,500.0,1.6667,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sahiwal,2019-20,jowar,300.0,700.0,2.3333,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sahiwal,2020-21,jowar,231.0,547.0,2.368,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sargodha,2017-18,jowar,7200.0,3700.0,0.5139,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sargodha,2018-19,jowar,7600.0,3800.0,0.5,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sargodha,2019-20,jowar,7690.0,4000.0,0.5202,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sargodha,2020-21,jowar,6556.0,3700.0,0.5644,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sheikhupura,2017-18,jowar,2400.0,1800.0,0.75,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sheikhupura,2018-19,jowar,1600.0,1200.0,0.75,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sheikhupura,2019-20,jowar,2080.0,1700.0,0.8173,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sheikhupura,2020-21,jowar,467.0,440.0,0.9422,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sialkot,2017-18,jowar,300.0,200.0,0.6667,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sialkot,2018-19,jowar,700.0,500.0,0.7143,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sialkot,2019-20,jowar,800.0,500.0,0.625,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sialkot,2020-21,jowar,605.0,426.0,0.7041,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2017-18,jowar,900.0,2100.0,2.3333,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2018-19,jowar,400.0,900.0,2.25,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2019-20,jowar,730.0,1800.0,2.4658,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2020-21,jowar,683.0,1453.0,2.1274,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2021-22,jowar,10920.0,13332.0,1.2209,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2022-23,jowar,6129.0,11680.0,1.9057,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2023-24,jowar,729.0,1326.0,1.8189,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2024-25,jowar,271.0,465.0,1.7159,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2017-18,jowar,300.0,300.0,1.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2018-19,jowar,200.0,200.0,1.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2019-20,jowar,180.0,200.0,1.1111,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2020-21,jowar,1158.0,1202.0,1.038,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2021-22,jowar,3520.0,4026.0,1.1438,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2022-23,jowar,3231.0,6334.0,1.9604,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2017-18,maize,12800.0,24000.0,1.875,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2018-19,maize,11100.0,25800.0,2.3243,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2019-20,maize,11500.0,31800.0,2.7652,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2021-22,maize,7100.0,31800.0,4.4789,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2022-23,maize,6500.0,30900.0,4.7538,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2023-24,maize,10600.0,47900.0,4.5189,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2017-18,maize,10676.0,88997.0,8.3362,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2018-19,maize,14478.0,106945.0,7.3867,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2019-20,maize,19600.0,136899.99,6.9847,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2021-22,maize,13700.0,100200.0,7.3139,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2022-23,maize,21123.97,198200.0,9.3827,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2023-24,maize,11000.0,92500.0,8.4091,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalpur,2017-18,maize,9296.0,67917.0,7.306,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalpur,2018-19,maize,12442.0,84496.0,6.7912,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalpur,2019-20,maize,21800.0,171000.0,7.844,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalpur,2021-22,maize,46750.0,308200.01,6.5925,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalpur,2022-23,maize,54683.03,394399.99,7.2125,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalpur,2023-24,maize,63300.0,440000.0,6.951,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bhakkar,2017-18,maize,2800.0,3100.0,1.1071,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bhakkar,2018-19,maize,4100.0,5400.0,1.3171,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bhakkar,2019-20,maize,2000.0,5600.0,2.8,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chakwal,2017-18,maize,1400.0,1200.0,0.8571,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chakwal,2018-19,maize,1400.0,1900.0,1.3571,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chakwal,2019-20,maize,1300.0,1900.0,1.4615,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chakwal,2021-22,maize,600.0,1500.0,2.5,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chakwal,2022-23,maize,804.68,1600.0,1.9884,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chiniot,2017-18,maize,35004.0,237549.0,6.7863,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chiniot,2018-19,maize,44047.0,314905.0,7.1493,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chiniot,2019-20,maize,24200.0,190500.0,7.8719,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chiniot,2021-22,maize,28000.0,234500.0,8.375,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chiniot,2022-23,maize,33304.07,311200.01,9.3442,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Chiniot,2023-24,maize,30500.0,271799.99,8.9115,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2017-18,maize,1100.0,1800.0,1.6364,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2018-19,maize,1400.0,2500.0,1.7857,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2019-20,maize,900.0,4100.0,4.5556,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2021-22,maize,100.0,600.0,6.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2022-23,maize,404.68,3900.0,9.6373,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Dera Ghazi Khan,2023-24,maize,400.0,2100.0,5.25,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Faisalabad,2017-18,maize,28549.0,174123.99,6.0991,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Faisalabad,2018-19,maize,40697.0,266849.0,6.557,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Faisalabad,2019-20,maize,49000.0,315100.01,6.4306,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Faisalabad,2021-22,maize,54700.0,365899.99,6.6892,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Faisalabad,2022-23,maize,53723.84,448000.0,8.3389,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Faisalabad,2023-24,maize,54700.0,386200.01,7.0603,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujranwala,2017-18,maize,1711.0,5259.0,3.0736,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujranwala,2018-19,maize,1705.0,5224.0,3.0639,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujranwala,2019-20,maize,2400.0,18800.0,7.8333,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujranwala,2021-22,maize,2800.0,26100.0,9.3214,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujranwala,2022-23,maize,3803.97,30700.0,8.0705,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujranwala,2023-24,maize,1100.0,8600.0,7.8182,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2017-18,maize,2452.0,6348.0,2.5889,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2018-19,maize,2692.0,6468.0,2.4027,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2019-20,maize,100.0,500.0,5.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
