District,Season,Crop,Area (ha),Production (tonnes),Yield,Yield Unit,Source
Gujranwala,2019-20,bajra,690.0,400.0,0.5797,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujranwala,2020-21,bajra,397.0,240.0,0.6045,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2017-18,bajra,69400.0,26800.0,0.3862,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2018-19,bajra,71400.0,27200.0,0.381,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2019-20,bajra,69400.0,26800.0,0.3862,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2020-21,bajra,66007.0,25651.0,0.3886,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2021-22,bajra,37981.0,44905.0,1.1823,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2022-23,bajra,33744.0,36718.0,1.0881,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2023-24,bajra,30210.0,33343.0,1.1037,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Gujrat,2024-25,bajra,29521.0,31745.0,1.0753,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Hafizabad,2017-18,bajra,9100.0,6100.0,0.6703,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Hafizabad,2018-19,bajra,9000.0,6100.0,0.6778,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Hafizabad,2019-20,bajra,8780.0,5900.0,0.672,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Hafizabad,2020-21,bajra,3328.0,2319.0,0.6968,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhang,2017-18,bajra,13800.0,11500.0,0.8333,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhang,2018-19,bajra,15900.0,13600.0,0.8553,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhang,2019-20,bajra,2020.0,1700.0,0.8416,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhang,2020-21,bajra,1005.0,1020.0,1.0149,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhang,2021-22,bajra,10.0,19.0,1.9,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhelum,2017-18,bajra,27200.0,9500.0,0.3493,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhelum,2018-19,bajra,27700.0,9500.0,0.343,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhelum,2019-20,bajra,27950.0,10500.0,0.3757,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhelum,2020-21,bajra,13805.0,5844.0,0.4233,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhelum,2021-22,bajra,17856.0,27124.0,1.519,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhelum,2022-23,bajra,13199.0,21776.0,1.6498,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhelum,2023-24,bajra,14043.0,20397.0,1.4525,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Jhelum,2024-25,bajra,13233.0,24336.0,1.839,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Kasur,2017-18,bajra,12000.0,11000.0,0.9167,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Kasur,2018-19,bajra,12300.0,11700.0,0.9512,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Kasur,2019-20,bajra,14970.0,14500.0,0.9686,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Kasur,2020-21,bajra,6039.0,8935.0,1.4795,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Kasur,2021-22,bajra,1247.0,1969.0,1.579,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Kasur,2022-23,bajra,2309.0,4191.0,1.8151,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
